Name,ID,Category,Food_Category,Energy Kcal,carb_g,protein_g,fat_g,fibre_g,Water,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,manganese_mg,zinc_mg,Vitamin A ug,Vitamin E_mg,Vitamin d3_ug,Vitamin k1_ug,Vitamin B9_ug,Vitamin B1 mg,Vitamin B2 mg,Vitamin B3 mg,Vitamin B5 mg,Vitamin B6 mg,Vitamin B9 ug,Vitamin c mg,Source
Spinach raita (Palak ka raita),10382,Others,Sides,52.75,5.06,3.95,1.86,1.39,87.74,142.96,101.73,54.45,126.57,458.18,1.61,0.09,2.06,0.59,0.59,13.78,0.67,0,161.02,79.07,0.11,0.18,0.28,0.36,0.13,79.07,16.2,Indian Nutrient Databank (INDB)
Bathua raita,10383,Others,Sides,54.4,5.31,4.13,1.76,2.19,86.61,206.31,104.17,35.47,110.92,366.14,1.46,0.06,1.72,0.81,0.85,13.78,0.16,0,111.31,30.12,0.06,0.39,0.38,0.45,0.14,30.12,21.49,Indian Nutrient Databank (INDB)
Pineapple raita (Ananas ka raita),10384,Others,Sides,67.74,8.62,3.9,2.02,1.39,84.07,134.53,114.15,18.8,135.48,239.89,0.27,0.03,1.34,0.45,0.5,17.63,0.18,0,2.02,17.45,0.06,0.18,0.18,0.37,0.11,17.45,12.52,Indian Nutrient Databank (INDB)
Banana raita (Kele ka raita),10385,Others,Sides,89.03,13.51,4.13,2.07,1,79.29,133.23,116.44,24.32,135.43,308.83,0.31,0.05,1.31,0.16,0.51,17.63,0.07,0,1.95,17.36,0.05,0.18,0.3,0.44,0.23,17.36,3.61,Indian Nutrient Databank (INDB)
Mango raita (Aam ka raita),10386,Others,Sides,67.37,8.23,3.9,2.14,0.89,84.84,136.06,113.36,19.01,135.46,240.21,0.34,0.04,1.91,0.11,0.5,17.63,0.13,0,2.76,37.55,0.05,0.18,0.23,0.37,0.1,37.55,11.45,Indian Nutrient Databank (INDB)
Guava raita (Amarood ka raita),10387,Others,Sides,64.36,7.27,4.19,2.07,3,83.47,136.93,117.29,19.61,135.94,283.96,0.28,0.06,1.89,0.11,0.54,17.63,0.07,0,2.42,21.09,0.06,0.18,0.34,0.41,0.1,21.09,68.43,Indian Nutrient Databank (INDB)
Grapes raita (Angoor ka raita),10388,Others,Sides,72.59,9.66,3.98,2.07,0.71,83.58,134.52,116.26,17.07,135.64,247.92,0.26,0.03,1.31,0.07,0.48,17.63,0.06,0,2.98,14.4,0.05,0.18,0.19,0.35,0.1,14.4,6.64,Indian Nutrient Databank (INDB)
Bottle gourd kheer (Ghiya/Lauki kheer),10389,Others,Desserts,84.07,10,2.7,3.86,0.55,82.89,94.18,79.1,11.57,19.62,117.46,0.23,0.05,1.09,0.12,0.32,0,0.38,0,0.47,13.4,0.03,0.09,0.12,0.37,0.03,13.4,2.32,Indian Nutrient Databank (INDB)
Pumpkin kheer (Kaddu ki kheer),10390,Others,Desserts,86.35,10.44,2.76,3.86,0.63,82.31,95.61,80.25,11.48,20.99,141.55,0.24,0.05,0.83,0.11,0.31,0,0.49,0,15.71,10.07,0.03,0.09,0.17,0.29,0.05,10.07,3.01,Indian Nutrient Databank (INDB)
Apple kheer (Seb ki kheer),10391,Others,Desserts,81.3,11.34,2.14,3.18,0.51,82.83,75.67,62.83,8.91,15.86,93.41,0.18,0.04,0.68,0.09,0.25,0,0.33,0,0.61,4.93,0.02,0.07,0.11,0.22,0.03,4.93,1.75,Indian Nutrient Databank (INDB)
Pear chocholate sunday,10392,Others,Desserts,183.49,15.02,2.08,13.11,0.07,69.72,56.67,56.29,12.33,16.26,91.18,0.24,0.07,0.36,0.02,0.27,112.13,0.58,0,0.14,5.22,0.02,0.08,0.1,0.17,0.03,5.22,1.37,Indian Nutrient Databank (INDB)
Coffee pear alaska,10393,Others,Desserts,203.99,19.36,2.88,13.22,0.15,64.39,60.61,55.73,8.57,51.11,107.86,0.22,0.03,2,0.05,0.23,109.17,0.63,0.07,0.15,5.53,0.02,0.09,0.23,0.28,0.03,5.53,1.39,Indian Nutrient Databank (INDB)
Crunchy butterscotch,10394,Others,Desserts,277.32,19.92,3.11,20.99,0.47,55.51,72.26,76.55,12.96,22.24,103.65,0.26,0.06,0.69,0.1,0.35,184.22,0.78,0,0.46,9.99,0.06,0.14,0.44,0.25,0.04,9.99,1.14,Indian Nutrient Databank (INDB)
Grape and orange whip,10395,Others,Desserts,57.39,6.72,1.41,2.62,0.97,88.28,17.4,15.37,8.95,14.36,138.86,0.53,0.03,1.61,0.02,0.05,24.73,0.11,0.07,2,13.92,0.05,0.04,0.19,0.24,0.04,13.92,28.81,Indian Nutrient Databank (INDB)
Fruit delight,10396,Others,Desserts,107.09,9.11,2.09,7.09,0.09,81.62,71.69,61.21,6.93,17.27,96.94,0.15,0.02,0.5,0.01,0.23,46.67,0.27,0,0.24,5.67,0.02,0.08,0.1,0.22,0.03,5.67,2.26,Indian Nutrient Databank (INDB)
Stewed fruit (with pear),10397,Others,Desserts,74.32,18.22,0.25,0.32,2.84,78.37,5.94,5.18,5.87,1.7,68.56,0.21,0.07,0.03,0.06,0.06,0,0.19,0,8.08,3.6,0.01,0.01,0.08,0.03,0.06,3.6,2.06,Indian Nutrient Databank (INDB)
Apricot fool,10398,Others,Desserts,240.79,33.64,1.54,11.35,1,52.47,26.37,38.89,8.64,8.28,105.45,0.73,0.14,0.57,0.11,0.21,104.79,0.62,0,1.45,5.02,0.02,0.06,0.47,0.23,0.04,5.02,0.64,Indian Nutrient Databank (INDB)
Pavlova,10399,Others,Desserts,200.6,21.84,1.84,12.29,0.06,63.97,23,26.37,6.3,26.34,86.9,0.25,0.03,2,0.05,0.13,121.36,0.4,0.1,0.16,5.3,0.01,0.07,0.13,0.22,0.03,5.3,6.57,Indian Nutrient Databank (INDB)
Gulab jamun with milk powder,10400,Others,Desserts,471.15,28.24,0.85,40.15,0.05,30.71,26.13,22.38,3.16,67.28,33.68,0.13,0.04,0.25,0.01,0.12,3.53,19.58,0,2.52,1.51,0.01,0.03,0.03,0.08,0.01,1.51,0.14,Indian Nutrient Databank (INDB)
Chum chum,10401,Others,Desserts,130.05,28.27,1.52,1.92,0.02,68.27,62.58,49.4,5.13,16.65,64.67,0.13,0.05,0.58,0.01,0.21,0.19,0.09,0,0.01,3.27,0.02,0.06,0.05,0.19,0.02,3.27,0.86,Indian Nutrient Databank (INDB)
Dil bahar,10402,Others,Desserts,130.05,28.27,1.52,1.92,0.02,68.27,62.58,49.4,5.13,16.65,64.67,0.13,0.05,0.58,0.01,0.21,0.19,0.09,0,0.01,3.27,0.02,0.06,0.05,0.19,0.02,3.27,0.86,Indian Nutrient Databank (INDB)
Rasbhari,10403,Others,Desserts,130.05,28.27,1.52,1.92,0.02,68.27,62.58,49.4,5.13,16.65,64.67,0.13,0.05,0.58,0.01,0.21,0.19,0.09,0,0.01,3.27,0.02,0.06,0.05,0.19,0.02,3.27,0.86,Indian Nutrient Databank (INDB)
Rajbogh,10404,Others,Desserts,133.7,28.16,1.71,2.28,0.11,67.74,63.23,53.74,6.42,16.57,73.47,0.17,0.05,0.66,0.02,0.23,0.19,0.39,0,0.17,3.82,0.03,0.06,0.05,0.19,0.03,3.82,0.86,Indian Nutrient Databank (INDB)
Rasgulla,10405,Others,Desserts,118.64,25.79,1.38,1.75,0.01,71.07,57.09,45.07,4.68,15.19,58.99,0.12,0.04,0.53,0.01,0.19,0.18,0.09,0,0.01,2.98,0.02,0.06,0.04,0.17,0.02,2.98,0.79,Indian Nutrient Databank (INDB)
Rasmalai,10406,Others,Desserts,135.55,29.17,1.61,2.11,0.07,67.04,62.31,51.38,5.86,16.46,69.18,0.15,0.05,0.62,0.01,0.22,0.19,0.27,0,0.1,3.56,0.02,0.06,0.05,0.18,0.03,3.56,0.85,Indian Nutrient Databank (INDB)
Khoa coconut burfi,10407,Others,Desserts,411.45,36.55,9.98,26.01,4.07,23.39,309.84,288.22,54.94,31.14,459.51,2.1,0.28,28.71,0.63,1.56,0,1.53,0,0.75,52.94,0.07,0.07,0.4,0.22,0.07,52.94,0,Indian Nutrient Databank (INDB)
Danedar burfi,10408,Others,Desserts,102.68,12.33,3.24,4.72,0.09,79.62,107.53,94.74,11.91,23.31,116.64,0.24,0.07,1.07,0.03,0.38,0,0.35,0,0.1,6.97,0.04,0.1,0.09,0.33,0.04,6.97,2.41,Indian Nutrient Databank (INDB)
Semolina burfi (Suji/Rava burfi),10409,Others,Desserts,348.67,47.1,3.47,16.86,2.8,29.77,14.86,33.06,11.53,8.33,99.53,1.01,0.16,2.95,0.71,0.61,147.69,0.98,0,0.34,6.86,0.08,0.01,0.3,0.2,0.03,6.86,0,Indian Nutrient Databank (INDB)
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),10410,Others,Desserts,186.18,17.02,1.75,12.66,4.29,64.28,21.76,48,23.61,8.95,283.95,0.79,0.2,4.45,0.39,0.32,19.17,1.5,0,52.7,19.1,0.03,0.03,0.38,0.15,0.08,19.1,5.01,Indian Nutrient Databank (INDB)
Khoa ladoo,10411,Others,Desserts,396.02,34.43,12.21,24.09,3.08,26.19,358.61,341.83,69.26,31.71,479.67,2.25,0.26,28.57,0.41,1.81,0,4.01,0,1.82,60.69,0.13,0.08,0.57,0.28,0.11,60.69,0.04,Indian Nutrient Databank (INDB)
Wheat and gram flour ladoo (Atta besan ladoo),10412,Others,Desserts,501.7,50.5,9.38,29.86,6.01,4.25,35.27,122.22,44.21,27.06,224.94,2.39,0.21,12.78,1.31,1.12,228.6,2.04,0,2.33,48.1,0.2,0.07,0.99,0.5,0.15,48.1,0,Indian Nutrient Databank (INDB)
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),10413,Others,Desserts,441.84,48.02,5.44,25.45,4.27,16.82,18.04,71.11,29.99,3.93,189.25,1.81,0.3,5,1.03,1.1,220.4,1.52,0,0.64,12.77,0.14,0.02,0.51,0.36,0.06,12.77,0.08,Indian Nutrient Databank (INDB)
Sesame chickpeas brittle (Til aur channe ki chikki),10414,Others,Snacks,282.74,50.49,8.5,4.66,5.54,30.81,150.73,178.66,109.57,17.93,515.43,4.8,0.37,16.47,0.91,1.79,0,0.16,0,8,67.53,0.14,0.05,0.82,0.59,0.4,67.53,0,Indian Nutrient Databank (INDB)
Murmura chikki,10415,Others,Snacks,253.82,59.59,2.12,0.32,0.37,37.6,63.3,64.3,74.94,15.03,298.86,3.3,0.08,0,0.54,0.46,0,0.03,0,0.14,8.23,0.04,0.01,0.28,0.19,0.42,8.23,0,Indian Nutrient Databank (INDB)
Masala onion pakora/pakoda (Pyaaz ke pakode),10416,Others,Snacks,551.64,6.48,2.05,57.61,1.44,32.42,11.06,24.35,9.65,99.22,70.11,0.42,0.05,0.37,0.21,0.2,0,28.34,0,5.86,20.78,0.04,0.02,0.23,0.16,0.06,20.78,1.68,Indian Nutrient Databank (INDB)
Masala green chilli pakora/pakoda (Hari mirch kay pakode),10417,Others,Snacks,668.76,5.55,2.22,71.01,1.34,19.88,8.58,23.56,8.39,120.9,56.48,0.47,0.04,0.35,0.2,0.16,0,34.96,0,7.04,18.46,0.05,0.02,0.24,0.13,0.06,18.46,5.59,Indian Nutrient Databank (INDB)
Chicken pakora/pakoda,10418,Others,Snacks,590.09,4.55,6.03,60.98,0.96,27.48,9.08,52.4,10.08,103.23,92.9,0.51,0.08,3.91,0.2,0.28,1.35,29.22,0.27,5.13,16.73,0.05,0.03,1.72,0.33,0.14,16.73,0.2,Indian Nutrient Databank (INDB)
Fish pakora/pakoda,10419,Others,Snacks,577.03,4.55,5.97,59.52,0.96,29,12.65,62.72,13.44,112.24,95.62,0.63,0.05,12.77,0.2,0.25,3.18,29.3,0.04,5.13,16.09,0.05,0.03,0.67,0.37,0.06,16.09,0.2,Indian Nutrient Databank (INDB)
Paneer cutlet,10420,Others,Snacks,672.2,7.62,4.59,69.38,0.39,18.02,107.86,74.91,8.93,91.45,35.43,0.48,0.05,5.07,0.1,0.61,0,32.68,0,6.11,21.2,0.03,0.03,0.19,0.11,0.02,21.2,1,Indian Nutrient Databank (INDB)
Sago cutlet/vadas (Sabudana cutlet/vadas),10421,Others,Snacks,558.76,11.23,0.56,56.97,0.54,30.7,5.43,15,7.6,48.17,138.97,0.38,0.04,0.19,0.06,0.09,0,28.04,0,5.74,4.31,0.02,0,0.27,0.1,0.03,4.31,6.35,Indian Nutrient Databank (INDB)
Poshtik cutlet,10422,Others,Snacks,496.45,7.39,2,50.94,1.35,38.32,14.94,33.91,18.53,57.11,195.37,0.69,0.09,2.13,0.2,0.3,0,24.69,0,18.62,18.13,0.05,0.02,0.59,0.17,0.04,18.13,6.82,Indian Nutrient Databank (INDB)
Egg cutlet ,10423,Others,Snacks,575.02,5.77,2.45,60.25,0.58,30.95,16.22,37.57,8.76,79.4,139.03,0.56,0.05,5.39,0.08,0.26,24.34,29.25,0.1,5.85,10.84,0.03,0.03,0.3,0.27,0.05,10.84,5.45,Indian Nutrient Databank (INDB)
Minced meat cutlet,10424,Others,Snacks,531.86,5.61,5.1,54.47,0.4,34.42,20.82,52.36,8.14,95.81,88.67,0.63,0.04,1.11,0.07,0.84,1.07,25.37,0,4.73,3.8,0.05,0.05,1.2,0.21,0.05,3.8,0.78,Indian Nutrient Databank (INDB)
Vegetable samosa,10425,Others,Snacks,443.11,13.22,2.21,42.22,1.52,40.83,10.37,30.05,14.78,107.7,189.07,0.6,0.07,0.35,0.17,0.28,15.23,20.05,0,8.36,12.28,0.06,0.01,0.48,0.25,0.06,12.28,9.96,Indian Nutrient Databank (INDB)
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),10426,Others,Snacks,745.5,9.7,4.39,76.32,2.27,7.32,10.6,71.32,33.02,65.87,220.17,0.96,0.13,4.56,0.28,0.57,0,37.47,0,6.37,16.88,0.04,0.02,0.33,0.56,0.04,16.88,0,Indian Nutrient Databank (INDB)
Masala urad dal vada,10427,Others,Snacks,703.78,9.93,4.32,71.62,2.71,11.42,11.87,71.27,33.89,61.49,232.79,1,0.14,4.23,0.35,0.57,0,34.65,0,7.56,18.57,0.04,0.02,0.36,0.55,0.06,18.57,2.39,Indian Nutrient Databank (INDB)
Khaman (dhokla),10428,Others,Snacks,54.73,5.36,1.92,2.8,1.49,88.43,5.31,29.78,11.46,124.1,92.49,0.58,0.08,4.35,0.16,0.32,0,0.98,0,1.62,16.29,0.03,0.02,0.18,0.14,0.02,16.29,2.19,Indian Nutrient Databank (INDB)
Instant dhokla,10429,Others,Snacks,207.11,24.11,7.66,9.37,3.57,55.29,66.58,105.74,25.8,763.98,187.95,1.05,0.12,2.21,0.56,0.7,6.59,3.71,0,6.41,53.84,0.15,0.12,0.63,0.48,0.16,53.84,6.37,Indian Nutrient Databank (INDB)
Tomato ginger chutney (Tamatar adarak ki chutney),10430,Others,Sides,44.66,9.11,1.05,0.32,2.14,87.38,23.63,25.64,20.73,209.42,227.56,1.08,0.09,0.2,0.29,0.17,0,0.2,0,20.84,13.96,0.06,0.03,0.56,0.17,0.09,13.96,22.2,Indian Nutrient Databank (INDB)
Mint tomato chutney (Pudinay aur tamatar ki chutney),10431,Others,Sides,43.65,8.22,1.53,0.36,2.63,87.26,47.59,30.87,32.52,183.98,268.71,2.06,0.12,1.6,0.39,0.25,0,0.24,0,39.76,26.12,0.06,0.05,0.58,0.2,0.1,26.12,21.53,Indian Nutrient Databank (INDB)
Coriander chutney (Hare dhaniye ki chutney),10432,Others,Sides,42.86,8.16,1.38,0.37,2.47,87.62,39.8,30.8,27.59,186.64,269.63,1.63,0.11,0.23,0.38,0.24,0,0.24,0,54.29,18.85,0.07,0.03,0.58,0.23,0.1,18.85,22.42,Indian Nutrient Databank (INDB)
Gooseberry chutney (Amla chutney),10433,Others,Sides,43.02,8.83,1.44,0.62,4.58,84.53,46.4,34.89,22.58,215.09,269.12,1.22,0.11,0.63,0.33,0.22,0,0.38,0,45.03,13.91,0.05,0.04,0.4,0.33,0.11,13.91,30.18,Indian Nutrient Databank (INDB)
Walnut chutney (Akhrot ki chutney),10434,Others,Sides,370.43,8.91,9.44,33.46,3.04,45.15,119.57,257.03,100.09,160,351.46,1.77,0.79,3.96,1.8,1.72,8.47,2.12,0,44.59,37.38,0.23,0.15,0.54,0.6,0.45,37.38,10.75,Indian Nutrient Databank (INDB)
Saunth/Sonth chutney with ginger,10435,Others,Sides,84.22,20.62,0.28,0.11,0.31,78.68,15.17,9.83,14.01,222.53,82.02,0.7,0.02,0.01,0.14,0.08,0,0.01,0,0.37,1.54,0.01,0,0.04,0.03,0.08,1.54,0.01,Indian Nutrient Databank (INDB)
Gun powder chutney,10436,Others,Sides,312.34,47.65,21.55,2.67,13.95,14.18,68.87,350.62,166.84,195.67,1183.29,5.14,0.68,28.17,1.49,2.96,0,0.27,0,31.88,102.54,0.25,0.16,2.14,2.46,0.23,102.54,0.11,Indian Nutrient Databank (INDB)
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,10437,Others,Sides,346.36,36.72,12.88,15.88,13.16,21.36,73.55,215.92,101.68,321.07,821.02,5.44,0.63,26.11,1.23,2.15,0,2.36,0,29.8,98.84,0.27,0.16,1.7,0.91,0.17,98.84,1.41,Indian Nutrient Databank (INDB)
Curd mint dip ,10438,Others,Sides,76.13,9.11,4.82,2.44,0.77,82.86,172.79,136.88,25.58,222.77,280.81,0.82,0.04,2.38,0.12,0.61,21.24,0.09,0,13.78,23.74,0.05,0.22,0.24,0.43,0.1,23.74,9.96,Indian Nutrient Databank (INDB)
Curd vegetable dip,10439,Others,Sides,56.21,6.04,3.88,1.94,0.63,87.51,129.58,111.81,17.18,132.48,243.19,0.37,0.02,1.42,0.16,0.51,16.78,0.06,0,3.62,20.78,0.05,0.17,0.23,0.37,0.1,20.78,16.28,Indian Nutrient Databank (INDB)
Lemon curd filling,10440,Others,Sides,225.62,26.41,3.43,12.58,0,57.58,16.39,50.13,3.7,34.9,47.38,0.6,0.03,10.18,0,0.35,169.25,0.61,0.21,0.93,12.85,0.02,0.06,0.04,0.38,0.04,12.85,2.55,Indian Nutrient Databank (INDB)
Savoury cheese horns,10441,Others,Snacks,295.15,21.38,5.66,20.71,0.73,51.52,121.83,148.19,14.28,212.28,105.28,0.63,0.05,1.1,0.18,0.65,184.28,1.12,0,6.41,11.51,0.06,0.08,0.22,0.36,0.04,11.51,3.12,Indian Nutrient Databank (INDB)
Pearl millet infant food (Bajra shishu aahaar),10442,Others,Mains,362.44,62.1,11.98,6.62,7.84,11.46,118.52,278.41,143.55,12.67,602.95,5.67,0.55,23.7,1.03,2.28,0,0.43,0,8.23,48.28,0.23,0.12,1.48,0.68,0.4,48.28,0,Indian Nutrient Databank (INDB)
Sajina,10443,Others,Mains,345.26,66.87,10.81,3.03,7.62,11.67,54.4,250.06,127.5,11.7,582.5,5.39,0.49,25.23,0.97,2.01,0,0.18,0,3.09,40.8,0.21,0.13,0.8,0.65,0.39,40.8,0,Indian Nutrient Databank (INDB)
Cereal mix ,10444,Others,Mains,120.81,21.84,3.32,2.02,2.03,70.79,21.4,61.53,32.77,9.29,179.18,1.18,0.13,3.33,0.35,0.53,0,0.21,0,1.81,19.18,0.07,0.02,0.84,0.24,0.14,19.18,0.5,Indian Nutrient Databank (INDB)
Pulse mix,10445,Others,Mains,83.29,16,3.16,0.54,2.25,78.05,14.93,61.34,28.72,3.88,151.35,1.29,0.13,9.04,0.43,0.61,0,0.04,0,0.32,18.17,0.07,0.03,0.36,0.24,0.09,18.17,0,Indian Nutrient Databank (INDB)
Shishu ahar,10446,Others,Mains,93.37,17.42,2.61,1.43,1.02,77.52,13.78,41.56,23.11,2.68,82.43,1.02,0.07,0.29,0.27,0.33,0,0.24,0,0.61,13,0.05,0.02,0.57,0.14,0.09,13,0,Indian Nutrient Databank (INDB)
Cereal pulse mix with amylase rice flour,10447,Others,Mains,151.57,27.8,4.27,2.74,3.47,61.72,12.61,91.45,34.43,1.03,96.86,1.19,0.14,12.81,0.83,0.8,0,1.23,0,1.18,22.01,0.13,0.05,0.71,0.3,0.09,22.01,0,Indian Nutrient Databank (INDB)
Banana groundnut paste/puree,10448,Others,Mains,213.19,36.15,4.27,5.45,1.7,52.43,74.93,96.68,65.75,16.85,357.4,1.9,0.16,0.63,0.49,0.6,0,0.53,0,0.91,20.9,0.08,0.06,1.31,0.38,0.4,20.9,3.02,Indian Nutrient Databank (INDB)
Rice dal porridge (Chawal dal ki khichdi/khichri),10449,Others,Mains,383.33,65.04,10.8,8.33,4.51,11.32,50.46,198.16,100.09,12.33,465.8,2.76,0.41,6.17,0.95,1.45,0,0.93,0,1.93,35.6,0.23,0.06,3.46,0.66,0.37,35.6,0,Indian Nutrient Databank (INDB)
Lentils and semolina porridge (Dal suji porridge/daliya),10450,Others,Mains,117.29,23.19,3.26,1.06,1.44,71.05,44.74,63.19,30.44,9.64,188,1.22,0.11,3.79,0.36,0.47,0,0.08,0,0.53,10.74,0.06,0.03,0.22,0.26,0.14,10.74,0.4,Indian Nutrient Databank (INDB)
Spinach khichri (Palak khichri/khichdi),10451,Others,Mains,102.18,17.35,3.43,1.91,1.56,75.75,10.43,60.07,23.26,69.59,170.86,0.65,0.14,4.51,0.29,0.42,0,0.94,0,22.68,18.74,0.07,0.03,0.59,0.25,0.06,18.74,2.02,Indian Nutrient Databank (INDB)
Vegetable mix,10452,Others,Mains,174.21,36.02,4.7,0.94,1.93,56.41,90.06,114.21,68.98,34.94,527.2,2.27,0.16,5.8,0.48,0.65,5.6,0.21,0,35.59,36.84,0.09,0.08,0.49,0.47,0.3,36.84,8.48,Indian Nutrient Databank (INDB)
Lentils and wheat porridge (Dal wheat porridge/daliya ),10453,Others,Mains,52.54,8.36,2.71,0.94,1.28,86.71,26.28,41.45,10.67,62.79,94.87,0.52,0.06,3.11,0.06,0.2,0,0.05,0,0.49,6.65,0.03,0.03,0.12,0.16,0.02,6.65,0.35,Indian Nutrient Databank (INDB)
Maize porridge,10454,Others,Mains,89.57,15.64,2.14,1.89,1.68,78.65,17.02,46.79,31.35,5.59,140.18,1.11,0.1,3.07,0.24,0.43,0,0.84,0,19.6,14.11,0.06,0.02,0.34,0.12,0.11,14.11,1.78,Indian Nutrient Databank (INDB)
Spinach peanut burfi (Palak aur mungfali ki burfi),10455,Others,Desserts,105.37,13.59,3.36,4.39,2.07,76.59,40.95,54.41,56.97,19.52,331.67,1.61,0.18,1.23,0.64,0.53,0,0.98,0,135.68,68.63,0.13,0.05,1.32,0.2,0.09,68.63,12.62,Indian Nutrient Databank (INDB)
Split bengal gram burfi/fudge (Channa dal burfi),10456,Others,Desserts,287.36,54.63,4.65,7.09,2.06,31.57,16.44,45.51,13.65,2.53,64.96,0.62,0.1,0.82,0.34,0.35,56.45,0.87,0,1.86,39.64,0.09,0.03,0.39,0.26,0.09,39.64,0.98,Indian Nutrient Databank (INDB)
Pearl millet mathri (Bajra mathri),10457,Others,Snacks,785.08,7.42,1.82,83.12,1.36,6.28,4.63,32.86,12.87,33.17,42.34,0.72,0.06,2.69,0.16,0.29,24.57,39.62,0,5.63,10.72,0.04,0.02,0.15,0.09,0.04,10.72,0,Indian Nutrient Databank (INDB)
Sesame biscuit (Til ke biscuit),10458,Others,Snacks,424.03,53.65,8.27,19.34,6.83,11.91,298.06,390.18,151.07,182.26,373.54,5.73,0.46,22.86,1.65,2.55,105.67,0.98,0,18.74,37.52,0.22,0.07,1.62,0.46,0.44,37.52,0,Indian Nutrient Databank (INDB)
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),10459,Others,Snacks,657.57,8.68,4.05,67.19,2.65,17.43,20.5,63.67,36.88,63.87,267.47,1.38,0.15,6.54,0.42,0.63,0,32.98,0,50.21,43.03,0.07,0.03,0.36,0.42,0.06,43.03,4.39,Indian Nutrient Databank (INDB)
Poshtik namak paras,10460,Others,Snacks,613.39,19.52,6.49,56.58,4.55,12.86,60.74,130.17,61,44.01,203.84,2.03,0.24,11.86,0.99,1.15,53.6,23.93,0,38.8,47.22,0.18,0.06,1.45,0.38,0.14,47.22,2.93,Indian Nutrient Databank (INDB)
Soya chikki,10461,Others,Snacks,423.7,62.89,7.18,15.51,3.55,10.87,81.25,149.09,102.97,17.24,534.75,4.47,0.27,7.24,0.91,1.2,122.52,1.1,0,2.01,48.12,0.11,0.05,0.67,0.5,0.44,48.12,0,Indian Nutrient Databank (INDB)
Besan bathua chilla/cheela,10462,Others,Snacks,373.82,40.65,11.48,18.57,7.79,21.51,64.75,183.83,70.42,166.36,274.89,2.68,0.27,19.19,1.8,1.61,153.03,1.93,0,40.64,80.83,0.3,0.19,1.51,0.77,0.26,80.83,6.81,Indian Nutrient Databank (INDB)
Wheat flour and nuts ladoos (Atta nuts ladoos),10463,Others,Desserts,391.9,44.31,9.46,19.19,7.3,19.74,127.29,249.13,124.38,8.07,338.21,4.01,0.44,24.3,1.7,2.23,95.38,1.39,0,8.28,36.14,0.28,0.09,2.82,0.57,0.3,36.14,0,Indian Nutrient Databank (INDB)
Gram flour and semolina dhokla (Besan suji dhokla),10464,Others,Snacks,198.91,25.92,8.52,7.1,4.59,53.87,66.66,156.59,38.17,196.59,262.4,1.6,0.17,3.05,0.86,0.88,3.54,3.35,0,47.66,77.02,0.19,0.1,0.78,0.55,0.18,77.02,6.63,Indian Nutrient Databank (INDB)
Atta dal burfi ,10465,Others,Desserts,298.8,40.64,6.66,12.47,4.08,36.15,17.07,140.06,57.29,3.56,268.58,1.56,0.3,16.97,0.81,1.1,89.23,0.91,0,1.52,23.4,0.16,0.05,1.43,0.45,0.09,23.4,0,Indian Nutrient Databank (INDB)
Soya roti,10466,Others,Mains,283.96,40.03,9.18,9.23,8.71,32.85,53.42,241.62,114.51,155.93,481.32,3.85,0.42,32.68,2.24,2.11,0,4.04,0,89.43,71.35,0.32,0.14,1.66,0.7,0.22,71.35,8.02,Indian Nutrient Databank (INDB)
Poshtik khichdi/khichri,10467,Others,Mains,93.37,15.64,3.04,1.88,2,77.44,30.41,52.51,27.73,41.67,139.53,1,0.12,4.63,0.38,0.51,0,0.51,0,26.87,18.16,0.06,0.04,0.79,0.22,0.07,18.16,7.15,Indian Nutrient Databank (INDB)
Namkeen daliya,10468,Others,Mains,295.11,49.32,8.29,7.99,8.57,25.83,35.98,6.13,4.34,149.63,51.52,2.99,0.02,0.02,0.04,0.06,0,3.55,0,6.1,5.39,0.01,0.01,0.15,0.06,0.03,5.39,5.86,Indian Nutrient Databank (INDB)
Sprouts upma ,10469,Others,Mains,316.25,44.96,9.5,10.44,7.16,27.94,36.78,112.94,44.1,147.82,248.98,2.76,0.37,7.48,1.41,1.66,0,3.9,0,5.42,27.93,0.24,0.05,1.61,0.6,0.11,27.93,0.51,Indian Nutrient Databank (INDB)
Semolina idli (Suji/Rava idli),10470,Others,Mains,206.39,33.67,9.34,3.47,5.85,47.67,100.85,193.19,53.71,185.02,413.85,2.34,0.31,9.58,1.15,1.57,8.86,0.51,0,55.65,58.64,0.21,0.14,1.2,0.66,0.13,58.64,5.43,Indian Nutrient Databank (INDB)
Poshtik chilla/cheela,10471,Others,Snacks,159.53,27.47,4.85,3.04,4.91,59.73,18.18,138.23,55.64,97.18,150.74,2.1,0.21,22.06,1.27,1.25,0,1.25,0,3.62,16.31,0.19,0.07,1.06,0.41,0.12,16.31,0.81,Indian Nutrient Databank (INDB)
Stuffed bittergourd (dry) (Bharwa karela),10472,Others,Sides,217.65,2.49,1.29,22.38,3,70.84,16.72,35.98,28.1,519.29,284.18,1.29,0.08,3.97,0.43,0.35,0,10.94,0,5,45.33,0.05,0.03,0.24,0.21,0.04,45.33,41,Indian Nutrient Databank (INDB)
