Name,ID,Category,Food_Category,Energy Kcal,carb_g,protein_g,fat_g,fibre_g,Water,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,manganese_mg,zinc_mg,Vitamin A ug,Vitamin E_mg,Vitamin d3_ug,Vitamin k1_ug,Vitamin B9_ug,Vitamin B1 mg,Vitamin B2 mg,Vitamin B3 mg,Vitamin B5 mg,Vitamin B6 mg,Vitamin B9 ug,Vitamin c mg,Source
Vermicelli upma (Semiya/Seviyan upma),10264,Others,Mains,149.11,16.88,3.11,7.45,3.21,69.35,20.3,41.93,21.56,101.8,138.21,0.93,0.1,3.84,0.36,0.35,0,3.54,0,10.13,11.89,0.05,0.02,0.35,0.24,0.05,11.89,4.37,Indian Nutrient Databank (INDB)
Rice upma,10265,Others,Mains,151.27,17.96,2.63,7.46,2.12,69.83,17.57,48.14,19.24,101.75,131.62,0.67,0.11,1.38,0.37,0.39,0,3.55,0,10.23,11.24,0.06,0.03,0.69,0.25,0.09,11.24,4.37,Indian Nutrient Databank (INDB)
Bread upma,10266,Others,Mains,129.51,12.6,2.8,7.75,1.96,74.89,45.22,39.86,18.35,176.44,130.12,0.82,0.08,2.47,0.31,0.32,0,3.55,0,9.95,14.86,0.06,0.03,0.52,0.14,0.06,14.86,4.37,Indian Nutrient Databank (INDB)
Vegetable upma,10267,Others,Mains,146.47,16.46,4.73,6.63,4.19,67.99,26.68,67.04,33.55,347.02,208.3,1.35,0.19,3.75,0.63,0.78,0,2.39,0,12.86,21.42,0.12,0.04,1.04,0.36,0.09,21.42,6.12,Indian Nutrient Databank (INDB)
Poha,10268,Others,Mains,294.53,35.05,6.09,14.14,3.72,41,37.67,139.76,66.85,377.1,333.98,3.01,0.24,2.31,0.69,1.07,0,5.03,0,13.15,21.91,0.14,0.04,2.09,0.42,0.09,21.91,12.13,Indian Nutrient Databank (INDB)
Vegetable poha,10269,Others,Mains,180.52,21.52,4.89,8.07,3.76,61.76,28.01,96.29,48.59,418.02,223.09,1.92,0.19,2.28,0.54,0.81,0,2.85,0,15.45,22.28,0.11,0.05,1.35,0.37,0.09,22.28,7.37,Indian Nutrient Databank (INDB)
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),10270,Others,Snacks,154.89,19.42,6.97,5.11,4.25,64.25,39.34,129.16,61.1,267.23,574.12,2.22,0.31,12.14,0.55,0.86,0,2.34,0,20.82,35.17,0.12,0.04,0.92,0.63,0.13,35.17,15.31,Indian Nutrient Databank (INDB)
Paneer stuffed cheela/chilla,10271,Others,Snacks,205.19,19.16,11.44,8.89,4.03,56.48,151.3,202.71,64.32,289.1,464.03,2.41,0.32,18.21,0.58,1.48,0,2.49,0,21.64,54.88,0.12,0.07,0.7,0.68,0.11,54.88,9.31,Indian Nutrient Databank (INDB)
Indian style egg bhujia (Anda bhujia (Indian style)),10272,Others,Sides,102.83,3.76,6.1,7.02,1.53,81.59,31.9,90.42,17.09,218.05,178.56,1.14,0.08,16.17,0.28,0.65,78.6,2.26,0.33,13.45,32.43,0.05,0.09,0.32,0.73,0.13,32.43,10.76,Indian Nutrient Databank (INDB)
Green pea soup (Matar ka soup),10273,Others,Soups,39.81,3.63,11.06,12.9,2.49,69.92,46.63,103.29,38.39,10958.11,329.91,2.18,0.08,0.65,0.28,0.55,11.3,0.08,0,9.54,11.77,0.08,0.02,0.46,0.2,0.06,11.77,7.4,Indian Nutrient Databank (INDB)
